#SeqID	Length	Prediction
NODE_1_length_492188_cov_32.202	492188	Chromosome
NODE_2_length_412805_cov_30.7347	412805	Chromosome
NODE_3_length_297764_cov_26.1054	297764	Chromosome
NODE_4_length_288122_cov_27.187	288122	Chromosome
NODE_5_length_259754_cov_29.7332	259754	Chromosome
NODE_6_length_232655_cov_33.7868	232655	Chromosome
NODE_7_length_191815_cov_31.7219	191815	Chromosome
NODE_8_length_185076_cov_32.5135	185076	Chromosome
NODE_9_length_184118_cov_28.8262	184118	Chromosome
NODE_10_length_177904_cov_34.4344	177904	Chromosome
NODE_11_length_169169_cov_31.485	169169	Chromosome
NODE_12_length_163585_cov_31.0801	163585	Chromosome
NODE_13_length_161335_cov_30.8993	161335	Chromosome
NODE_14_length_160662_cov_34.2536	160662	Chromosome
NODE_15_length_160390_cov_28.0139	160390	Chromosome
NODE_16_length_158826_cov_27.9586	158826	Chromosome
NODE_17_length_156704_cov_32.478	156704	Chromosome
NODE_18_length_149191_cov_31.4647	149191	Chromosome
NODE_19_length_141520_cov_30.916	141520	Chromosome
NODE_20_length_138814_cov_32.6491	138814	Chromosome
NODE_21_length_126162_cov_32.5792	126162	Chromosome
NODE_22_length_103452_cov_33.5924	103452	Chromosome
NODE_23_length_101526_cov_34.9541	101526	Chromosome
NODE_24_length_81221_cov_34.2342	81221	Chromosome
NODE_25_length_78937_cov_33.6667	78937	Chromosome
NODE_26_length_73285_cov_34.6517	73285	Chromosome
NODE_27_length_72542_cov_40.7095	72542	Chromosome
NODE_28_length_69192_cov_36.6109	69192	Chromosome
NODE_29_length_64866_cov_37.003	64866	Chromosome
NODE_30_length_64673_cov_33.2721	64673	Chromosome
NODE_31_length_64595_cov_26.7322	64595	Chromosome
NODE_32_length_60822_cov_31.0901	60822	Chromosome
NODE_33_length_57257_cov_33.227	57257	Chromosome
NODE_34_length_56974_cov_72.3812	56974	Plasmid
NODE_35_length_56609_cov_30.066	56609	Chromosome
NODE_36_length_55625_cov_33.7203	55625	Chromosome
NODE_37_length_52872_cov_35.743	52872	Chromosome
NODE_38_length_47059_cov_29.0308	47059	Chromosome
NODE_39_length_42500_cov_35.2902	42500	Chromosome
NODE_40_length_41985_cov_36.938	41985	Chromosome
NODE_41_length_40456_cov_73.9843	40456	Plasmid
NODE_42_length_38916_cov_55.9785	38916	Plasmid
NODE_43_length_38131_cov_38.7524	38131	Chromosome
NODE_44_length_38101_cov_37.6268	38101	Chromosome
NODE_45_length_36511_cov_61.1621	36511	Plasmid
NODE_46_length_34755_cov_74.5393	34755	Plasmid
NODE_47_length_34467_cov_36.0984	34467	Chromosome
NODE_48_length_34056_cov_36.6501	34056	Plasmid
NODE_49_length_33927_cov_31.4668	33927	Chromosome
NODE_50_length_32049_cov_102.973	32049	Plasmid
NODE_51_length_30444_cov_33.5086	30444	Chromosome
NODE_52_length_28324_cov_110.024	28324	Plasmid
NODE_53_length_27037_cov_29.2352	27037	Plasmid
NODE_54_length_26893_cov_36.9923	26893	Chromosome
NODE_55_length_26175_cov_41.1382	26175	Chromosome
NODE_56_length_22150_cov_64.2631	22150	Plasmid
NODE_57_length_20901_cov_100.518	20901	Plasmid
NODE_58_length_20875_cov_57.5479	20875	Plasmid
NODE_59_length_20193_cov_30.5337	20193	Chromosome
NODE_60_length_19445_cov_35.9457	19445	Chromosome
NODE_61_length_19342_cov_38.2241	19342	Plasmid
NODE_62_length_16777_cov_26.2223	16777	Plasmid
NODE_63_length_14409_cov_106.025	14409	Plasmid
NODE_64_length_12450_cov_29.9803	12450	Plasmid
NODE_65_length_10499_cov_34.7871	10499	Chromosome
NODE_66_length_10484_cov_74.5539	10484	Plasmid
NODE_67_length_10110_cov_47.2182	10110	Plasmid
NODE_68_length_10007_cov_174.561	10007	Chromosome
NODE_69_length_9218_cov_221.33	9218	Plasmid
NODE_70_length_8555_cov_44.7569	8555	Chromosome
NODE_71_length_8467_cov_26.5682	8467	Chromosome
