#SeqID	Length	Prediction
pos_1	500	Chromosome
pos_2	500	Plasmid
pos_3	500	Chromosome
pos_4	500	Plasmid
pos_5	500	Plasmid
pos_6	500	Plasmid
pos_7	500	Chromosome
pos_8	500	Plasmid
pos_9	500	Plasmid
pos_10	500	Plasmid
pos_11	500	Plasmid
pos_12	500	Plasmid
pos_13	500	Plasmid
pos_14	500	Plasmid
pos_15	500	Plasmid
pos_16	500	Chromosome
pos_17	500	Plasmid
pos_18	500	Plasmid
pos_19	500	Plasmid
pos_20	500	Plasmid
pos_21	500	Chromosome
pos_22	500	Chromosome
pos_23	500	Chromosome
pos_24	500	Chromosome
pos_25	500	Plasmid
pos_26	500	Plasmid
pos_27	500	Chromosome
pos_28	500	Plasmid
pos_29	500	Plasmid
pos_30	500	Plasmid
pos_31	500	Chromosome
pos_32	500	Plasmid
pos_33	500	Plasmid
pos_34	500	Plasmid
pos_35	500	Plasmid
pos_36	500	Plasmid
pos_37	500	Plasmid
pos_38	500	Chromosome
pos_39	500	Plasmid
pos_40	500	Chromosome
pos_41	500	Plasmid
pos_42	500	Plasmid
pos_43	500	Plasmid
pos_44	500	Chromosome
pos_45	500	Plasmid
pos_46	500	Plasmid
pos_47	500	Plasmid
pos_48	500	Plasmid
pos_49	500	Plasmid
pos_50	500	Plasmid
pos_51	500	Plasmid
pos_52	500	Plasmid
pos_53	500	Plasmid
pos_54	500	Plasmid
pos_55	500	Plasmid
pos_56	500	Chromosome
pos_57	500	Plasmid
pos_58	500	Plasmid
pos_59	500	Plasmid
pos_60	500	Plasmid
pos_61	500	Plasmid
pos_62	500	Plasmid
pos_63	500	Plasmid
pos_64	500	Plasmid
pos_65	500	Chromosome
pos_66	500	Plasmid
pos_67	500	Plasmid
pos_68	500	Chromosome
pos_69	500	Chromosome
pos_70	500	Plasmid
pos_71	500	Plasmid
pos_72	500	Plasmid
pos_73	500	Plasmid
pos_74	500	Chromosome
pos_75	500	Plasmid
pos_76	500	Plasmid
pos_77	500	Chromosome
pos_78	500	Plasmid
pos_79	500	Chromosome
pos_80	500	Plasmid
pos_81	500	Plasmid
pos_82	500	Plasmid
pos_83	500	Plasmid
pos_84	500	Chromosome
pos_85	500	Chromosome
pos_86	500	Plasmid
pos_87	500	Plasmid
pos_88	500	Chromosome
pos_89	500	Chromosome
pos_90	500	Plasmid
pos_91	500	Chromosome
pos_92	500	Chromosome
pos_93	500	Plasmid
pos_94	500	Plasmid
pos_95	500	Plasmid
pos_96	500	Plasmid
pos_97	500	Plasmid
pos_98	500	Chromosome
pos_99	500	Chromosome
pos_100	500	Chromosome
pos_101	500	Plasmid
pos_102	500	Plasmid
pos_103	500	Chromosome
pos_104	500	Chromosome
pos_105	500	Plasmid
pos_106	500	Plasmid
pos_107	500	Plasmid
pos_108	500	Plasmid
pos_109	500	Chromosome
pos_110	500	Plasmid
pos_111	500	Plasmid
pos_112	500	Plasmid
pos_113	500	Plasmid
pos_114	500	Chromosome
pos_115	500	Chromosome
pos_116	500	Plasmid
pos_117	500	Chromosome
pos_118	500	Plasmid
pos_119	500	Plasmid
pos_120	500	Chromosome
pos_121	500	Chromosome
pos_122	500	Chromosome
pos_123	500	Plasmid
pos_124	500	Plasmid
pos_125	500	Chromosome
pos_126	500	Chromosome
pos_127	500	Plasmid
pos_128	500	Chromosome
pos_129	500	Chromosome
pos_130	500	Plasmid
pos_131	500	Chromosome
pos_132	500	Plasmid
pos_133	500	Plasmid
pos_134	500	Plasmid
pos_135	500	Chromosome
pos_136	500	Chromosome
pos_137	500	Plasmid
pos_138	500	Plasmid
pos_139	500	Plasmid
pos_140	500	Plasmid
pos_141	500	Plasmid
pos_142	500	Plasmid
pos_143	500	Chromosome
pos_144	500	Plasmid
pos_145	500	Plasmid
pos_146	500	Plasmid
pos_147	500	Plasmid
pos_148	500	Plasmid
pos_149	500	Plasmid
pos_150	500	Plasmid
pos_151	500	Chromosome
pos_152	500	Plasmid
pos_153	500	Plasmid
pos_154	500	Plasmid
pos_155	500	Chromosome
pos_156	500	Plasmid
pos_157	500	Chromosome
pos_158	500	Chromosome
pos_159	500	Plasmid
pos_160	500	Chromosome
pos_161	500	Chromosome
pos_162	500	Plasmid
pos_163	500	Chromosome
pos_164	500	Plasmid
pos_165	500	Plasmid
pos_166	500	Plasmid
pos_167	500	Chromosome
pos_168	500	Plasmid
pos_169	500	Plasmid
pos_170	500	Plasmid
pos_171	500	Chromosome
pos_172	500	Plasmid
pos_173	500	Chromosome
pos_174	500	Plasmid
pos_175	500	Plasmid
pos_176	500	Plasmid
pos_177	500	Plasmid
pos_178	500	Chromosome
pos_179	500	Plasmid
pos_180	500	Chromosome
pos_181	500	Chromosome
pos_182	500	Plasmid
pos_183	500	Chromosome
pos_184	500	Plasmid
pos_185	500	Plasmid
pos_186	500	Chromosome
pos_187	500	Chromosome
pos_188	500	Chromosome
pos_189	500	Plasmid
pos_190	500	Plasmid
pos_191	500	Plasmid
pos_192	500	Plasmid
pos_193	500	Chromosome
pos_194	500	Plasmid
pos_195	500	Chromosome
pos_196	500	Chromosome
pos_197	500	Chromosome
pos_198	500	Chromosome
pos_199	500	Plasmid
pos_200	500	Plasmid
pos_201	500	Plasmid
pos_202	500	Chromosome
pos_203	500	Chromosome
pos_204	500	Plasmid
pos_205	500	Plasmid
pos_206	500	Chromosome
pos_207	500	Plasmid
pos_208	500	Plasmid
pos_209	500	Plasmid
pos_210	500	Chromosome
pos_211	500	Chromosome
pos_212	500	Plasmid
pos_213	500	Chromosome
pos_214	500	Plasmid
pos_215	500	Chromosome
pos_216	500	Plasmid
pos_217	500	Plasmid
pos_218	500	Chromosome
pos_219	500	Chromosome
pos_220	500	Plasmid
pos_221	500	Plasmid
pos_222	500	Chromosome
pos_223	500	Chromosome
pos_224	500	Chromosome
pos_225	500	Chromosome
pos_226	500	Plasmid
pos_227	500	Plasmid
pos_228	500	Plasmid
pos_229	500	Chromosome
pos_230	500	Plasmid
pos_231	500	Chromosome
pos_232	500	Plasmid
pos_233	500	Plasmid
pos_234	500	Plasmid
pos_235	500	Plasmid
pos_236	500	Plasmid
pos_237	500	Plasmid
pos_238	500	Chromosome
pos_239	500	Chromosome
pos_240	500	Chromosome
pos_241	500	Plasmid
pos_242	500	Plasmid
pos_243	500	Plasmid
pos_244	500	Plasmid
pos_245	500	Chromosome
pos_246	500	Chromosome
pos_247	500	Plasmid
pos_248	500	Plasmid
pos_249	500	Plasmid
pos_250	500	Plasmid
pos_251	500	Chromosome
pos_252	500	Plasmid
pos_253	500	Plasmid
pos_254	500	Plasmid
pos_255	500	Plasmid
pos_256	500	Plasmid
pos_257	500	Plasmid
pos_258	500	Plasmid
pos_259	500	Plasmid
pos_260	500	Chromosome
pos_261	500	Plasmid
pos_262	500	Chromosome
pos_263	500	Plasmid
pos_264	500	Plasmid
pos_265	500	Plasmid
pos_266	500	Chromosome
pos_267	500	Chromosome
pos_268	500	Chromosome
pos_269	500	Plasmid
pos_270	500	Plasmid
pos_271	500	Plasmid
pos_272	500	Plasmid
pos_273	500	Chromosome
pos_274	500	Plasmid
pos_275	500	Plasmid
pos_276	500	Chromosome
pos_277	500	Plasmid
pos_278	500	Plasmid
pos_279	500	Plasmid
pos_280	500	Plasmid
pos_281	500	Plasmid
pos_282	500	Plasmid
pos_283	500	Plasmid
pos_284	500	Plasmid
pos_285	500	Chromosome
pos_286	500	Plasmid
pos_287	500	Plasmid
pos_288	500	Plasmid
pos_289	500	Plasmid
pos_290	500	Chromosome
pos_291	500	Chromosome
pos_292	500	Plasmid
pos_293	500	Plasmid
pos_294	500	Plasmid
pos_295	500	Plasmid
pos_296	500	Chromosome
pos_297	500	Plasmid
pos_298	500	Chromosome
pos_299	500	Plasmid
pos_300	500	Plasmid
pos_301	500	Plasmid
pos_302	500	Plasmid
pos_303	500	Plasmid
pos_304	500	Plasmid
pos_305	500	Chromosome
pos_306	500	Chromosome
pos_307	500	Plasmid
pos_308	500	Chromosome
pos_309	500	Chromosome
pos_310	500	Plasmid
pos_311	500	Chromosome
pos_312	500	Chromosome
pos_313	500	Plasmid
pos_314	500	Plasmid
pos_315	500	Plasmid
pos_316	500	Plasmid
pos_317	500	Chromosome
pos_318	500	Plasmid
pos_319	500	Chromosome
pos_320	500	Chromosome
pos_321	500	Plasmid
pos_322	500	Plasmid
pos_323	500	Plasmid
pos_324	500	Chromosome
pos_325	500	Chromosome
pos_326	500	Plasmid
pos_327	500	Chromosome
pos_328	500	Plasmid
pos_329	500	Plasmid
pos_330	500	Plasmid
pos_331	500	Plasmid
pos_332	500	Chromosome
pos_333	500	Plasmid
pos_334	500	Plasmid
pos_335	500	Plasmid
pos_336	500	Chromosome
pos_337	500	Plasmid
pos_338	500	Plasmid
pos_339	500	Chromosome
pos_340	500	Plasmid
pos_341	500	Plasmid
pos_342	500	Plasmid
pos_343	500	Plasmid
pos_344	500	Chromosome
pos_345	500	Chromosome
pos_346	500	Chromosome
pos_347	500	Plasmid
pos_348	500	Chromosome
pos_349	500	Plasmid
pos_350	500	Plasmid
pos_351	500	Chromosome
pos_352	500	Chromosome
pos_353	500	Chromosome
pos_354	500	Chromosome
pos_355	500	Plasmid
pos_356	500	Plasmid
pos_357	500	Plasmid
pos_358	500	Chromosome
pos_359	500	Plasmid
pos_360	500	Chromosome
pos_361	500	Plasmid
pos_362	500	Chromosome
pos_363	500	Plasmid
pos_364	500	Chromosome
pos_365	500	Chromosome
pos_366	500	Chromosome
pos_367	500	Plasmid
pos_368	500	Chromosome
pos_369	500	Plasmid
pos_370	500	Plasmid
