#SeqID	Length	Prediction
NODE_1_length_256827_cov_36.7211_ID_10638	256827	Chromosome
NODE_2_length_240356_cov_36.7314_ID_10640	240356	Chromosome
NODE_3_length_219974_cov_33.1452_ID_10642	219974	Chromosome
NODE_4_length_195894_cov_33.9173_ID_10644	195894	Chromosome
NODE_5_length_162758_cov_31.9515_ID_10646	162758	Chromosome
NODE_6_length_147400_cov_35.8457_ID_10648	147400	Chromosome
NODE_7_length_119682_cov_33.0065_ID_10650	119682	Chromosome
NODE_8_length_118561_cov_34.6147_ID_10652	118561	Chromosome
NODE_9_length_115435_cov_35.1162_ID_10654	115435	Chromosome
NODE_10_length_111545_cov_34.2821_ID_10656	111545	Chromosome
NODE_11_length_110906_cov_35.9825_ID_10658	110906	Chromosome
NODE_12_length_105937_cov_32.8318_ID_10660	105937	Chromosome
NODE_13_length_102158_cov_34.9201_ID_10662	102158	Chromosome
NODE_14_length_100562_cov_31.4859_ID_10664	100562	Chromosome
NODE_15_length_92492_cov_32.4658_ID_10666	92492	Chromosome
NODE_16_length_91933_cov_32.8196_ID_10668	91933	Chromosome
NODE_17_length_90695_cov_73.4221_ID_10670	90695	Plasmid
NODE_18_length_88608_cov_36.4201_ID_10672	88608	Chromosome
NODE_19_length_85572_cov_34.1445_ID_10674	85572	Chromosome
NODE_20_length_85509_cov_33.0963_ID_10676	85509	Chromosome
NODE_21_length_82720_cov_37.297_ID_10678	82720	Chromosome
NODE_22_length_75273_cov_32.5982_ID_10680	75273	Chromosome
NODE_23_length_70823_cov_38.119_ID_10682	70823	Chromosome
NODE_24_length_69132_cov_31.6035_ID_10684	69132	Chromosome
NODE_25_length_64388_cov_33.3824_ID_10686	64388	Chromosome
NODE_26_length_63488_cov_33.2694_ID_10688	63488	Chromosome
NODE_27_length_62197_cov_35.2353_ID_10690	62197	Chromosome
NODE_28_length_61899_cov_33.461_ID_10692	61899	Chromosome
NODE_29_length_59453_cov_37.763_ID_10694	59453	Chromosome
NODE_30_length_57458_cov_32.493_ID_10696	57458	Chromosome
NODE_31_length_55826_cov_35.0193_ID_10698	55826	Chromosome
NODE_32_length_55443_cov_35.401_ID_10700	55443	Chromosome
NODE_33_length_55355_cov_37.1475_ID_10702	55355	Chromosome
NODE_34_length_55012_cov_37.0471_ID_10704	55012	Chromosome
NODE_35_length_52535_cov_36.2437_ID_10706	52535	Chromosome
NODE_36_length_50101_cov_32.5856_ID_10708	50101	Chromosome
NODE_37_length_46612_cov_33.9489_ID_10710	46612	Chromosome
NODE_38_length_43576_cov_35.2818_ID_10712	43576	Chromosome
NODE_39_length_43274_cov_37.6982_ID_10714	43274	Chromosome
NODE_40_length_42182_cov_34.4966_ID_10716	42182	Chromosome
NODE_41_length_41647_cov_32.3379_ID_10718	41647	Chromosome
NODE_42_length_39869_cov_33.2708_ID_10720	39869	Chromosome
NODE_43_length_39599_cov_34.3139_ID_10722	39599	Chromosome
NODE_44_length_38828_cov_32.676_ID_10724	38828	Plasmid
NODE_45_length_36399_cov_31.3451_ID_10726	36399	Chromosome
NODE_46_length_36374_cov_32.6933_ID_10728	36374	Chromosome
NODE_47_length_35618_cov_36.3769_ID_10730	35618	Plasmid
NODE_48_length_34940_cov_36.142_ID_10732	34940	Chromosome
NODE_49_length_32600_cov_133.795_ID_10734	32600	Plasmid
NODE_50_length_31746_cov_37.1947_ID_10736	31746	Chromosome
NODE_51_length_30843_cov_36.923_ID_10738	30843	Chromosome
NODE_52_length_28837_cov_35.4501_ID_10740	28837	Chromosome
NODE_53_length_27936_cov_32.5243_ID_10742	27936	Chromosome
NODE_54_length_27541_cov_39.0573_ID_10744	27541	Chromosome
NODE_55_length_25848_cov_36.0021_ID_10746	25848	Chromosome
NODE_56_length_25730_cov_31.9772_ID_10748	25730	Chromosome
NODE_57_length_25634_cov_83.2886_ID_10750	25634	Chromosome
NODE_58_length_25444_cov_74.5333_ID_10752	25444	Plasmid
NODE_59_length_25036_cov_70.8687_ID_10754	25036	Plasmid
NODE_60_length_24914_cov_33.5098_ID_10756	24914	Plasmid
NODE_61_length_21830_cov_32.4453_ID_10758	21830	Chromosome
NODE_62_length_21335_cov_31.601_ID_10760	21335	Chromosome
NODE_63_length_21329_cov_69.2145_ID_10762	21329	Plasmid
NODE_64_length_20805_cov_31.3674_ID_10764	20805	Chromosome
NODE_65_length_20731_cov_32.2778_ID_10766	20731	Chromosome
NODE_66_length_20277_cov_33.031_ID_10768	20277	Plasmid
NODE_67_length_19531_cov_33.617_ID_10770	19531	Plasmid
NODE_68_length_18907_cov_36.1566_ID_10772	18907	Plasmid
NODE_69_length_18047_cov_43.7137_ID_10774	18047	Chromosome
NODE_70_length_17591_cov_43.7024_ID_10776	17591	Plasmid
NODE_71_length_17005_cov_36.6925_ID_10778	17005	Plasmid
NODE_72_length_16674_cov_32.6402_ID_10780	16674	Plasmid
NODE_73_length_16178_cov_37.214_ID_10782	16178	Plasmid
NODE_74_length_15865_cov_32.5614_ID_10784	15865	Chromosome
NODE_75_length_15608_cov_76.6424_ID_10786	15608	Chromosome
NODE_76_length_14716_cov_38.1642_ID_10788	14716	Plasmid
NODE_77_length_13947_cov_35.3847_ID_10790	13947	Chromosome
NODE_78_length_13900_cov_37.2963_ID_10792	13900	Plasmid
NODE_79_length_13390_cov_32.5937_ID_10794	13390	Plasmid
NODE_80_length_13048_cov_82.4759_ID_10796	13048	Plasmid
NODE_81_length_12941_cov_25.7071_ID_10798	12941	Chromosome
NODE_82_length_12893_cov_30.6196_ID_10800	12893	Plasmid
NODE_83_length_12824_cov_33.8304_ID_10802	12824	Chromosome
NODE_84_length_12401_cov_37.4845_ID_10804	12401	Plasmid
NODE_85_length_11480_cov_32.6528_ID_10806	11480	Plasmid
NODE_86_length_11153_cov_57.6416_ID_10808	11153	Plasmid
NODE_87_length_11088_cov_35.8029_ID_10810	11088	Chromosome
NODE_88_length_10850_cov_28.4507_ID_10812	10850	Chromosome
NODE_89_length_10303_cov_33.4003_ID_10814	10303	Chromosome
NODE_90_length_10229_cov_34.3869_ID_10816	10229	Plasmid
NODE_91_length_9264_cov_72.3867_ID_10818	9264	Chromosome
NODE_92_length_9250_cov_30.9044_ID_10820	9250	Plasmid
NODE_93_length_9089_cov_62.8792_ID_10822	9089	Plasmid
NODE_94_length_9024_cov_36.7403_ID_10824	9024	Chromosome
NODE_95_length_8843_cov_32.9953_ID_10826	8843	Plasmid
NODE_96_length_8809_cov_28.7649_ID_10828	8809	Chromosome
NODE_97_length_6808_cov_99.2018_ID_10830	6808	Plasmid
NODE_98_length_6767_cov_59.4687_ID_10832	6767	Chromosome
NODE_99_length_6300_cov_64.5118_ID_10834	6300	Plasmid
NODE_100_length_6095_cov_39.1722_ID_10836	6095	Chromosome
NODE_101_length_5686_cov_136.851_ID_10838	5686	Plasmid
NODE_102_length_5423_cov_36.5753_ID_10840	5423	Chromosome
NODE_103_length_5143_cov_149.96_ID_10842	5143	Plasmid
NODE_104_length_4638_cov_43.7537_ID_10844	4638	Chromosome
NODE_105_length_4564_cov_50.1845_ID_10846	4564	Chromosome
NODE_106_length_4544_cov_52.4375_ID_10848	4544	Plasmid
NODE_107_length_3982_cov_26.2633_ID_10850	3982	Plasmid
NODE_108_length_3977_cov_45.9001_ID_10852	3977	Plasmid
NODE_109_length_3905_cov_36.8473_ID_10854	3905	Plasmid
NODE_110_length_3830_cov_38.706_ID_10856	3830	Plasmid
NODE_111_length_3695_cov_30.1332_ID_10858	3695	Chromosome
NODE_112_length_3629_cov_62.7356_ID_10860	3629	Plasmid
NODE_113_length_3377_cov_45.1773_ID_10862	3377	Plasmid
NODE_114_length_3286_cov_95.1993_ID_10864	3286	Chromosome
NODE_115_length_3269_cov_11.3774_ID_10866	3269	Plasmid
NODE_116_length_3053_cov_34.6921_ID_10868	3053	Plasmid
NODE_117_length_3002_cov_92.6885_ID_10870	3002	Chromosome
NODE_118_length_2962_cov_31.504_ID_10872	2962	Plasmid
NODE_119_length_2945_cov_89.4969_ID_10874	2945	Chromosome
NODE_120_length_2899_cov_33.1951_ID_10876	2899	Chromosome
NODE_121_length_2888_cov_47.7744_ID_10878	2888	Plasmid
NODE_122_length_2699_cov_157.94_ID_10880	2699	Plasmid
NODE_123_length_2458_cov_129.101_ID_10882	2458	Plasmid
NODE_124_length_2455_cov_109.373_ID_10884	2455	Plasmid
