#SeqID	Length	Prediction
NODE_1_length_255419_cov_35.2294_ID_18467	255419	Chromosome
NODE_2_length_237354_cov_33.4714_ID_18469	237354	Chromosome
NODE_3_length_219974_cov_33.1443_ID_18471	219974	Chromosome
NODE_4_length_199077_cov_32.0857_ID_18473	199077	Chromosome
NODE_5_length_195894_cov_33.9137_ID_18475	195894	Chromosome
NODE_6_length_147400_cov_35.8446_ID_18477	147400	Chromosome
NODE_7_length_119682_cov_33.0061_ID_18479	119682	Chromosome
NODE_8_length_118561_cov_34.6149_ID_18481	118561	Chromosome
NODE_9_length_115435_cov_35.116_ID_18483	115435	Chromosome
NODE_10_length_111537_cov_34.2107_ID_18485	111537	Chromosome
NODE_11_length_110906_cov_35.9783_ID_18487	110906	Chromosome
NODE_12_length_105936_cov_32.8259_ID_18489	105936	Chromosome
NODE_13_length_102158_cov_34.9201_ID_18491	102158	Chromosome
NODE_14_length_100562_cov_31.4814_ID_18493	100562	Chromosome
NODE_15_length_92484_cov_32.3777_ID_18495	92484	Chromosome
NODE_16_length_92333_cov_32.9689_ID_18497	92333	Chromosome
NODE_17_length_90695_cov_73.4238_ID_18499	90695	Plasmid
NODE_18_length_88608_cov_36.4218_ID_18501	88608	Chromosome
NODE_19_length_85493_cov_32.9049_ID_18503	85493	Chromosome
NODE_20_length_85337_cov_34.0652_ID_18505	85337	Chromosome
NODE_21_length_82712_cov_37.1987_ID_18507	82712	Chromosome
NODE_22_length_74974_cov_32.3716_ID_18509	74974	Chromosome
NODE_23_length_70823_cov_38.1206_ID_18511	70823	Chromosome
NODE_24_length_69037_cov_31.5792_ID_18513	69037	Chromosome
NODE_25_length_64571_cov_33.6435_ID_18515	64571	Chromosome
NODE_26_length_63990_cov_33.367_ID_18517	63990	Chromosome
NODE_27_length_61974_cov_35.2462_ID_18519	61974	Chromosome
NODE_28_length_61903_cov_33.4723_ID_18521	61903	Chromosome
NODE_29_length_59445_cov_37.6293_ID_18523	59445	Chromosome
NODE_30_length_57458_cov_32.488_ID_18525	57458	Chromosome
NODE_31_length_55983_cov_38.2869_ID_18527	55983	Chromosome
NODE_32_length_55912_cov_40.0493_ID_18529	55912	Chromosome
NODE_33_length_55728_cov_35.0087_ID_18531	55728	Chromosome
NODE_34_length_55012_cov_37.0533_ID_18533	55012	Chromosome
NODE_35_length_52525_cov_36.0806_ID_18535	52525	Chromosome
NODE_36_length_50172_cov_32.5538_ID_18537	50172	Chromosome
NODE_37_length_46948_cov_34.1279_ID_18539	46948	Chromosome
NODE_38_length_43647_cov_35.2478_ID_18541	43647	Chromosome
NODE_39_length_43494_cov_38.1025_ID_18543	43494	Chromosome
NODE_40_length_42174_cov_34.3068_ID_18545	42174	Chromosome
NODE_41_length_41639_cov_32.1386_ID_18547	41639	Chromosome
NODE_42_length_41175_cov_35.3064_ID_18549	41175	Chromosome
NODE_43_length_39599_cov_34.322_ID_18551	39599	Chromosome
NODE_44_length_38828_cov_32.6678_ID_18553	38828	Plasmid
NODE_45_length_36399_cov_31.3424_ID_18555	36399	Chromosome
NODE_46_length_35617_cov_36.3701_ID_18557	35617	Plasmid
NODE_47_length_34931_cov_35.9014_ID_18559	34931	Chromosome
NODE_48_length_32600_cov_133.792_ID_18561	32600	Plasmid
NODE_49_length_31850_cov_37.034_ID_18563	31850	Chromosome
NODE_50_length_30843_cov_36.9223_ID_18565	30843	Chromosome
NODE_51_length_28837_cov_35.455_ID_18567	28837	Chromosome
NODE_52_length_27926_cov_32.2157_ID_18569	27926	Chromosome
NODE_53_length_27536_cov_39.0263_ID_18571	27536	Chromosome
NODE_54_length_26189_cov_86.4027_ID_18573	26189	Chromosome
NODE_55_length_26118_cov_36.3217_ID_18575	26118	Chromosome
NODE_56_length_25730_cov_31.972_ID_18577	25730	Chromosome
NODE_57_length_25444_cov_74.555_ID_18579	25444	Plasmid
NODE_58_length_25035_cov_70.8741_ID_18581	25035	Plasmid
NODE_59_length_24914_cov_33.5098_ID_18583	24914	Plasmid
NODE_60_length_23855_cov_41.1232_ID_18585	23855	Chromosome
NODE_61_length_21830_cov_32.4453_ID_18587	21830	Chromosome
NODE_62_length_21333_cov_31.5833_ID_18589	21333	Chromosome
NODE_63_length_21329_cov_69.2029_ID_18591	21329	Plasmid
NODE_64_length_20722_cov_31.867_ID_18593	20722	Chromosome
NODE_65_length_20644_cov_42.526_ID_18595	20644	Plasmid
NODE_66_length_20277_cov_33.031_ID_18597	20277	Plasmid
NODE_67_length_18907_cov_36.1566_ID_18599	18907	Plasmid
NODE_68_length_18047_cov_43.7137_ID_18601	18047	Chromosome
NODE_69_length_17591_cov_43.697_ID_18603	17591	Plasmid
NODE_70_length_17478_cov_47.3676_ID_18605	17478	Plasmid
NODE_71_length_17005_cov_36.6925_ID_18607	17005	Plasmid
NODE_72_length_16657_cov_31.6414_ID_18609	16657	Plasmid
NODE_73_length_15856_cov_32.022_ID_18611	15856	Chromosome
NODE_74_length_15592_cov_75.6689_ID_18613	15592	Chromosome
NODE_75_length_14716_cov_38.1696_ID_18615	14716	Plasmid
NODE_76_length_13947_cov_35.3847_ID_18617	13947	Chromosome
NODE_77_length_13855_cov_37.1566_ID_18619	13855	Plasmid
NODE_78_length_13695_cov_94.744_ID_18621	13695	Plasmid
NODE_79_length_13390_cov_32.5937_ID_18623	13390	Plasmid
NODE_80_length_12941_cov_25.7071_ID_18625	12941	Chromosome
NODE_81_length_12916_cov_45.5678_ID_18627	12916	Plasmid
NODE_82_length_12891_cov_30.5746_ID_18629	12891	Plasmid
NODE_83_length_12816_cov_33.1997_ID_18631	12816	Chromosome
NODE_84_length_11480_cov_32.6528_ID_18633	11480	Plasmid
NODE_85_length_11175_cov_29.2657_ID_18635	11175	Chromosome
NODE_86_length_11153_cov_57.6416_ID_18637	11153	Plasmid
NODE_87_length_11079_cov_35.0221_ID_18639	11079	Chromosome
NODE_88_length_10866_cov_42.6258_ID_18641	10866	Plasmid
NODE_89_length_10516_cov_74.6289_ID_18643	10516	Plasmid
NODE_90_length_10295_cov_32.6139_ID_18645	10295	Chromosome
NODE_91_length_9556_cov_30.0613_ID_18647	9556	Plasmid
NODE_92_length_9024_cov_36.7229_ID_18649	9024	Chromosome
NODE_93_length_8843_cov_32.9953_ID_18651	8843	Plasmid
NODE_94_length_8809_cov_28.7649_ID_18653	8809	Chromosome
NODE_95_length_8805_cov_69.3751_ID_18655	8805	Chromosome
NODE_96_length_6808_cov_99.2387_ID_18657	6808	Plasmid
NODE_97_length_6767_cov_59.444_ID_18659	6767	Chromosome
NODE_98_length_6300_cov_64.5246_ID_18661	6300	Plasmid
NODE_99_length_6095_cov_39.1722_ID_18663	6095	Chromosome
NODE_100_length_5686_cov_136.806_ID_18665	5686	Plasmid
NODE_101_length_5538_cov_36.6595_ID_18667	5538	Chromosome
NODE_102_length_5143_cov_149.96_ID_18669	5143	Plasmid
NODE_103_length_4636_cov_43.6333_ID_18671	4636	Chromosome
NODE_104_length_4564_cov_50.1703_ID_18673	4564	Chromosome
NODE_105_length_4544_cov_52.4284_ID_18675	4544	Plasmid
NODE_106_length_4451_cov_71.7916_ID_18677	4451	Plasmid
NODE_107_length_3977_cov_45.9001_ID_18679	3977	Plasmid
