#SeqID	Length	Prediction
NODE_1_length_374400_cov_21.6748_ID_71314	374400	Chromosome
NODE_2_length_339660_cov_22.1556_ID_71316	339660	Chromosome
NODE_3_length_336203_cov_23.1193_ID_71318	336203	Chromosome
NODE_4_length_319456_cov_21.1015_ID_71320	319456	Chromosome
NODE_5_length_261191_cov_21.9722_ID_71322	261191	Chromosome
NODE_6_length_242533_cov_23.0598_ID_71324	242533	Chromosome
NODE_7_length_234643_cov_22.9627_ID_71326	234643	Chromosome
NODE_8_length_212470_cov_23.3985_ID_71328	212470	Chromosome
NODE_9_length_204144_cov_21.7442_ID_71330	204144	Chromosome
NODE_10_length_190917_cov_22.9122_ID_71332	190917	Chromosome
NODE_11_length_186465_cov_21.7828_ID_71334	186465	Chromosome
NODE_12_length_184900_cov_22.7614_ID_71336	184900	Chromosome
NODE_13_length_165299_cov_21.078_ID_71338	165299	Chromosome
NODE_14_length_164938_cov_23.4593_ID_71340	164938	Chromosome
NODE_15_length_159143_cov_23.2141_ID_71342	159143	Chromosome
NODE_16_length_145010_cov_21.0873_ID_71344	145010	Chromosome
NODE_17_length_136475_cov_20.5496_ID_71346	136475	Chromosome
NODE_18_length_123822_cov_22.7318_ID_71348	123822	Chromosome
NODE_19_length_111483_cov_21.5866_ID_71350	111483	Chromosome
NODE_20_length_109254_cov_22.6879_ID_71352	109254	Chromosome
NODE_21_length_106034_cov_22.9572_ID_71354	106034	Chromosome
NODE_22_length_75098_cov_21.4969_ID_71356	75098	Chromosome
NODE_23_length_69445_cov_21.1104_ID_71358	69445	Chromosome
NODE_24_length_63951_cov_21.377_ID_71360	63951	Plasmid
NODE_25_length_56011_cov_21.7264_ID_71362	56011	Plasmid
NODE_26_length_50399_cov_22.4421_ID_71364	50399	Chromosome
NODE_27_length_41376_cov_25.1908_ID_71366	41376	Chromosome
NODE_28_length_33943_cov_23.863_ID_71372	33943	Chromosome
NODE_29_length_32572_cov_22.2673_ID_71374	32572	Chromosome
NODE_30_length_31119_cov_23.7014_ID_71376	31119	Chromosome
NODE_31_length_29935_cov_23.0823_ID_71378	29935	Chromosome
NODE_32_length_28587_cov_4.08475_ID_71368	28587	Chromosome
NODE_33_length_23567_cov_24.3695_ID_71380	23567	Plasmid
NODE_34_length_21943_cov_21.9788_ID_71382	21943	Plasmid
NODE_35_length_21422_cov_23.4147_ID_71384	21422	Plasmid
NODE_36_length_21191_cov_19.3029_ID_71386	21191	Plasmid
NODE_37_length_20984_cov_27.6512_ID_71388	20984	Plasmid
NODE_38_length_15032_cov_23.3016_ID_71390	15032	Plasmid
NODE_39_length_15005_cov_27.4803_ID_71392	15005	Chromosome
NODE_40_length_14718_cov_20.9103_ID_71394	14718	Plasmid
NODE_41_length_12982_cov_28.041_ID_71396	12982	Plasmid
NODE_42_length_12469_cov_44.3091_ID_71398	12469	Chromosome
NODE_43_length_11105_cov_3.34543_ID_71370	11105	Chromosome
NODE_44_length_10662_cov_22.7231_ID_71400	10662	Plasmid
NODE_45_length_10632_cov_46.9939_ID_71402	10632	Plasmid
NODE_46_length_10233_cov_29.9046_ID_71404	10233	Plasmid
NODE_47_length_10117_cov_27.6305_ID_71406	10117	Chromosome
NODE_48_length_9055_cov_27.3518_ID_71408	9055	Plasmid
NODE_49_length_8979_cov_19.5002_ID_71410	8979	Plasmid
NODE_50_length_8844_cov_8.44738_ID_71412	8844	Chromosome
NODE_51_length_8574_cov_46.1904_ID_71414	8574	Plasmid
NODE_52_length_8057_cov_30.8453_ID_71416	8057	Plasmid
NODE_53_length_7967_cov_23.9463_ID_71418	7967	Chromosome
NODE_54_length_7806_cov_2.26461_ID_71420	7806	Plasmid
NODE_55_length_7795_cov_2.59186_ID_71422	7795	Plasmid
NODE_56_length_7305_cov_2.20552_ID_71428	7305	Chromosome
NODE_57_length_6968_cov_2.70939_ID_71426	6968	Chromosome
NODE_58_length_6691_cov_23.6258_ID_71442	6691	Plasmid
NODE_59_length_6552_cov_2.35201_ID_71430	6552	Chromosome
NODE_60_length_6258_cov_2.51217_ID_71466	6258	Plasmid
NODE_61_length_6241_cov_34.6167_ID_71468	6241	Plasmid
NODE_62_length_6057_cov_2.38154_ID_71446	6057	Chromosome
NODE_63_length_5804_cov_31.0482_ID_71486	5804	Chromosome
NODE_64_length_5780_cov_23.1803_ID_71488	5780	Chromosome
NODE_65_length_5680_cov_251.146_ID_71490	5680	Plasmid
NODE_66_length_5619_cov_2.44554_ID_71492	5619	Chromosome
NODE_67_length_5561_cov_19.5903_ID_71494	5561	Plasmid
NODE_68_length_5504_cov_2.16443_ID_71496	5504	Chromosome
NODE_69_length_5440_cov_29.1603_ID_71498	5440	Plasmid
NODE_70_length_5358_cov_2.22157_ID_71500	5358	Chromosome
NODE_71_length_5357_cov_26.226_ID_71502	5357	Plasmid
NODE_72_length_5342_cov_1.93796_ID_71504	5342	Chromosome
NODE_73_length_5258_cov_2.4976_ID_71450	5258	Chromosome
NODE_74_length_5222_cov_281.568_ID_71512	5222	Plasmid
NODE_75_length_5142_cov_2.18361_ID_71514	5142	Chromosome
NODE_76_length_5009_cov_2.34033_ID_71526	5009	Plasmid
NODE_77_length_4943_cov_28.8011_ID_71534	4943	Chromosome
NODE_78_length_4907_cov_2.17024_ID_71546	4907	Chromosome
NODE_79_length_4895_cov_29.5973_ID_71556	4895	Plasmid
NODE_80_length_4732_cov_1.90229_ID_71584	4732	Chromosome
NODE_81_length_4683_cov_2.48531_ID_71598	4683	Chromosome
NODE_82_length_4600_cov_1.94103_ID_71624	4600	Plasmid
NODE_83_length_4599_cov_2.2357_ID_71626	4599	Chromosome
NODE_84_length_4598_cov_21.8004_ID_71628	4598	Chromosome
NODE_85_length_4559_cov_2.05972_ID_71634	4559	Chromosome
NODE_86_length_4420_cov_2.04628_ID_71644	4420	Plasmid
NODE_87_length_4368_cov_2.37004_ID_71652	4368	Chromosome
NODE_88_length_4361_cov_2.05295_ID_71582	4361	Plasmid
NODE_89_length_4350_cov_2.41979_ID_71470	4350	Chromosome
NODE_90_length_4318_cov_21.6779_ID_71670	4318	Plasmid
NODE_91_length_4304_cov_2.20923_ID_71510	4304	Chromosome
NODE_92_length_4303_cov_2.2533_ID_71592	4303	Plasmid
NODE_93_length_4255_cov_23.8862_ID_71676	4255	Chromosome
NODE_94_length_4224_cov_2.46606_ID_71688	4224	Chromosome
NODE_95_length_4169_cov_22.1235_ID_71702	4169	Plasmid
NODE_96_length_4161_cov_2.1907_ID_71704	4161	Chromosome
NODE_97_length_4153_cov_2.44656_ID_71706	4153	Chromosome
NODE_98_length_4103_cov_2.30781_ID_71708	4103	Chromosome
NODE_99_length_4079_cov_2.38196_ID_71718	4079	Chromosome
NODE_100_length_4058_cov_2.13615_ID_71726	4058	Chromosome
NODE_101_length_3995_cov_2.40508_ID_71754	3995	Chromosome
NODE_102_length_3966_cov_2.33009_ID_71764	3966	Chromosome
NODE_103_length_3952_cov_2.33256_ID_71560	3952	Chromosome
NODE_104_length_3910_cov_2.1847_ID_71672	3910	Chromosome
NODE_105_length_3872_cov_2.42023_ID_71786	3872	Chromosome
NODE_106_length_3868_cov_1.84264_ID_71788	3868	Chromosome
NODE_107_length_3867_cov_2.29853_ID_71794	3867	Chromosome
NODE_108_length_3827_cov_2.43081_ID_71804	3827	Chromosome
NODE_109_length_3784_cov_2.28667_ID_71562	3784	Plasmid
NODE_110_length_3771_cov_2.04064_ID_71810	3771	Chromosome
NODE_111_length_3739_cov_2.30917_ID_71820	3739	Chromosome
NODE_112_length_3718_cov_2.40568_ID_71826	3718	Chromosome
NODE_113_length_3708_cov_2.27293_ID_71834	3708	Plasmid
NODE_114_length_3682_cov_2.44334_ID_71538	3682	Chromosome
NODE_115_length_3644_cov_2.27473_ID_71436	3644	Plasmid
NODE_116_length_3632_cov_2.07017_ID_71850	3632	Chromosome
NODE_117_length_3608_cov_2.54883_ID_71622	3608	Plasmid
NODE_118_length_3576_cov_1.97302_ID_71728	3576	Chromosome
NODE_119_length_3554_cov_2.17348_ID_71862	3554	Plasmid
NODE_120_length_3525_cov_2.12248_ID_71758	3525	Plasmid
NODE_121_length_3509_cov_2.28778_ID_71752	3509	Chromosome
NODE_122_length_3487_cov_2.09994_ID_71876	3487	Chromosome
NODE_123_length_3480_cov_3.77664_ID_71882	3480	Plasmid
NODE_124_length_3463_cov_2.33656_ID_71456	3463	Plasmid
NODE_125_length_3444_cov_2.4311_ID_71912	3444	Plasmid
NODE_126_length_3441_cov_2.25517_ID_71914	3441	Chromosome
NODE_127_length_3428_cov_2.17907_ID_71936	3428	Chromosome
NODE_128_length_3413_cov_2.24211_ID_71946	3413	Plasmid
NODE_129_length_3411_cov_2.52235_ID_71948	3411	Plasmid
NODE_130_length_3398_cov_2.09542_ID_71954	3398	Chromosome
NODE_131_length_3389_cov_2.5126_ID_71960	3389	Chromosome
NODE_132_length_3378_cov_2.19892_ID_71962	3378	Chromosome
NODE_133_length_3377_cov_1.8516_ID_71964	3377	Chromosome
NODE_134_length_3367_cov_2.05888_ID_71974	3367	Chromosome
NODE_135_length_3347_cov_2.03827_ID_71976	3347	Plasmid
NODE_136_length_3327_cov_2.0489_ID_71478	3327	Chromosome
NODE_137_length_3298_cov_2.55874_ID_72000	3298	Chromosome
NODE_138_length_3295_cov_2.02222_ID_72002	3295	Chromosome
NODE_139_length_3270_cov_2.15459_ID_71554	3270	Chromosome
NODE_140_length_3248_cov_2.3063_ID_71812	3248	Chromosome
NODE_141_length_3248_cov_2.22424_ID_72018	3248	Plasmid
NODE_142_length_3244_cov_2.21637_ID_72020	3244	Chromosome
NODE_143_length_3241_cov_2.33459_ID_72022	3241	Chromosome
NODE_144_length_3221_cov_2.70278_ID_71780	3221	Chromosome
NODE_145_length_3195_cov_2.65032_ID_71806	3195	Chromosome
NODE_146_length_3185_cov_21.7329_ID_72024	3185	Plasmid
NODE_147_length_3168_cov_2.43495_ID_72038	3168	Plasmid
NODE_148_length_3153_cov_2.10749_ID_72040	3153	Plasmid
NODE_149_length_3132_cov_2.1976_ID_72050	3132	Chromosome
NODE_150_length_3105_cov_2.71934_ID_71928	3105	Chromosome
NODE_151_length_3097_cov_2.69362_ID_71588	3097	Plasmid
NODE_152_length_3085_cov_158.771_ID_72074	3085	Chromosome
NODE_153_length_3082_cov_1.96234_ID_71596	3082	Chromosome
NODE_154_length_3059_cov_1.748_ID_72080	3059	Chromosome
NODE_155_length_3045_cov_1.99331_ID_71550	3045	Chromosome
NODE_156_length_3009_cov_2.08531_ID_71952	3009	Plasmid
NODE_157_length_3005_cov_2.63356_ID_72108	3005	Plasmid
NODE_158_length_2992_cov_2.365_ID_72114	2992	Chromosome
NODE_159_length_2983_cov_1.85827_ID_72116	2983	Chromosome
NODE_160_length_2966_cov_2.34696_ID_71710	2966	Plasmid
NODE_161_length_2919_cov_2.04015_ID_72144	2919	Chromosome
NODE_162_length_2915_cov_1.99091_ID_72146	2915	Chromosome
NODE_163_length_2913_cov_2.32925_ID_71958	2913	Plasmid
NODE_164_length_2901_cov_2.43429_ID_72152	2901	Chromosome
NODE_165_length_2899_cov_2.07032_ID_71524	2899	Chromosome
NODE_166_length_2857_cov_2.34297_ID_72166	2857	Plasmid
NODE_167_length_2852_cov_2.78441_ID_72168	2852	Chromosome
NODE_168_length_2843_cov_2.04232_ID_71844	2843	Chromosome
NODE_169_length_2838_cov_2.11534_ID_72178	2838	Chromosome
NODE_170_length_2823_cov_2.37536_ID_71942	2823	Chromosome
NODE_171_length_2822_cov_2.12324_ID_72184	2822	Chromosome
NODE_172_length_2805_cov_2.18145_ID_72192	2805	Plasmid
NODE_173_length_2800_cov_1.94645_ID_72194	2800	Chromosome
NODE_174_length_2798_cov_2.10937_ID_72196	2798	Chromosome
NODE_175_length_2793_cov_1.96567_ID_72198	2793	Chromosome
NODE_176_length_2769_cov_2.31835_ID_72206	2769	Plasmid
NODE_177_length_2764_cov_2.25951_ID_71700	2764	Chromosome
NODE_178_length_2762_cov_2.17917_ID_72212	2762	Chromosome
NODE_179_length_2752_cov_2.11086_ID_72218	2752	Chromosome
NODE_180_length_2746_cov_2.00818_ID_72226	2746	Plasmid
NODE_181_length_2736_cov_2.04513_ID_71528	2736	Chromosome
NODE_182_length_2715_cov_2.64398_ID_72240	2715	Chromosome
NODE_183_length_2710_cov_2.52429_ID_71630	2710	Plasmid
NODE_184_length_2709_cov_2.37189_ID_71484	2709	Chromosome
NODE_185_length_2706_cov_1.88721_ID_72252	2706	Chromosome
NODE_186_length_2705_cov_1.84038_ID_72258	2705	Chromosome
NODE_187_length_2700_cov_1.97656_ID_72264	2700	Chromosome
NODE_188_length_2691_cov_2.45941_ID_72278	2691	Plasmid
NODE_189_length_2682_cov_2.05367_ID_72284	2682	Chromosome
NODE_190_length_2675_cov_2.2126_ID_72290	2675	Plasmid
NODE_191_length_2674_cov_1.8068_ID_72292	2674	Plasmid
NODE_192_length_2657_cov_2.17909_ID_71858	2657	Chromosome
NODE_193_length_2656_cov_2.12149_ID_72302	2656	Chromosome
NODE_194_length_2655_cov_2.67192_ID_72304	2655	Plasmid
NODE_195_length_2648_cov_2.58658_ID_72306	2648	Chromosome
NODE_196_length_2646_cov_2.71131_ID_71902	2646	Plasmid
NODE_197_length_2639_cov_2.3781_ID_72314	2639	Chromosome
NODE_198_length_2639_cov_2.33127_ID_72316	2639	Chromosome
NODE_199_length_2630_cov_2.14913_ID_71972	2630	Plasmid
NODE_200_length_2624_cov_1.91981_ID_71566	2624	Chromosome
NODE_201_length_2623_cov_1.93497_ID_72326	2623	Chromosome
NODE_202_length_2622_cov_2.05337_ID_71600	2622	Plasmid
NODE_203_length_2614_cov_2.27394_ID_71874	2614	Chromosome
NODE_204_length_2583_cov_76.504_ID_72340	2583	Chromosome
NODE_205_length_2564_cov_2.08808_ID_72362	2564	Chromosome
NODE_206_length_2559_cov_2.0651_ID_72378	2559	Plasmid
NODE_207_length_2559_cov_2.20607_ID_72380	2559	Chromosome
NODE_208_length_2532_cov_201.013_ID_72382	2532	Plasmid
NODE_209_length_2527_cov_1.9462_ID_72384	2527	Plasmid
NODE_210_length_2524_cov_2.22074_ID_72122	2524	Chromosome
NODE_211_length_2522_cov_2.21848_ID_72386	2522	Chromosome
NODE_212_length_2517_cov_1.95167_ID_71864	2517	Chromosome
NODE_213_length_2513_cov_1.97559_ID_72402	2513	Plasmid
NODE_214_length_2511_cov_3.40432_ID_72404	2511	Plasmid
NODE_215_length_2507_cov_2.4584_ID_72406	2507	Chromosome
NODE_216_length_2503_cov_2.01797_ID_72164	2503	Chromosome
NODE_217_length_2485_cov_2.36214_ID_72416	2485	Plasmid
NODE_218_length_2481_cov_2.21929_ID_72418	2481	Plasmid
NODE_219_length_2480_cov_2.02722_ID_72424	2480	Chromosome
NODE_220_length_2476_cov_2.057_ID_71822	2476	Chromosome
NODE_221_length_2474_cov_2.15461_ID_72036	2474	Chromosome
NODE_222_length_2472_cov_1.91105_ID_72436	2472	Plasmid
NODE_223_length_2471_cov_2.37127_ID_71666	2471	Chromosome
NODE_224_length_2470_cov_2.16605_ID_72438	2470	Chromosome
NODE_225_length_2466_cov_2.16383_ID_72440	2466	Chromosome
NODE_226_length_2458_cov_1.64586_ID_72446	2458	Chromosome
NODE_227_length_2453_cov_2.06631_ID_72448	2453	Chromosome
NODE_228_length_2446_cov_2.21497_ID_72456	2446	Chromosome
NODE_229_length_2423_cov_1.95101_ID_72470	2423	Chromosome
NODE_230_length_2405_cov_2.25149_ID_72480	2405	Plasmid
NODE_231_length_2405_cov_18.3038_ID_72482	2405	Plasmid
NODE_232_length_2405_cov_1.75872_ID_72484	2405	Chromosome
NODE_233_length_2402_cov_2.21559_ID_72126	2402	Chromosome
NODE_234_length_2401_cov_2.02685_ID_72486	2401	Chromosome
NODE_235_length_2395_cov_1.75043_ID_72494	2395	Chromosome
NODE_236_length_2392_cov_2.33376_ID_71988	2392	Chromosome
NODE_237_length_2387_cov_2.35034_ID_72496	2387	Chromosome
NODE_238_length_2385_cov_2.38326_ID_72498	2385	Chromosome
NODE_239_length_2385_cov_2.07725_ID_71714	2385	Chromosome
NODE_240_length_2383_cov_1.86985_ID_71784	2383	Chromosome
NODE_241_length_2382_cov_2.57112_ID_71544	2382	Plasmid
NODE_242_length_2378_cov_1.61731_ID_72214	2378	Chromosome
